ID, Beans, Bread, Cerel,ChdBby, Chips,  Corn,  Eggs,  Fish, Fruit,  Meat,  Milk,Pepper,  Rice, Salza, Sauce,  Soda,Tomato,Tortya,Vegges,YogChs
38,     4,     4,     8,     6,    10,     0,     6,     1,     4,     9,     3,     1,     1,     2,     2,     9,     3,     2,     3,     0
39,     6,     7,     8,     4,    10,     6,     8,     0,     6,     4,     6,     9,     8,     6,     1,     0,     8,     8,     5,     9
40,     8,     3,     8,     6,     0,     0,     2,     0,     5,     2,     3,     1,     8,     1,     9,     1,     1,     1,     9,     6
41,     2,     7,     9,     6,     5,     1,     5,     1,     4,     7,     8,     5,     8,     1,     0,     1,     1,     2,     9,     7
42,     7,     2,     0,     5,     3,     7,     8,     2,     7,     6,     2,     6,     8,     1,     2,     1,     8,     8,     9,     9
43,     2,     9,     7,     3,     4,     1,     5,     1,     7,     7,     7,     4,     7,     1,     2,     0,     3,     0,     8,     4
44,     1,     1,     1,     5,     1,     4,     4,     5,     6,     9,     0,     6,     7,     2,     0,     1,     7,     8,     9,     8
45,     4,     1,     3,     3,     2,     6,     7,     2,     8,     6,     3,     3,     8,     2,     0,     2,     8,     7,    10,     6
46,     8,     6,     8,     3,    10,     8,     4,     2,     5,     4,     6,     8,     6,     8,     1,     0,     5,     8,     9,     5
47,     8,     4,     7,     7,     3,     0,     0,     1,     6,     3,     3,     3,     7,     1,     9,     0,     0,     2,     6,     3
48,    10,     4,     5,     4,     0,     0,     1,     1,     2,     2,     3,     1,     6,     2,     6,     2,     0,     0,     6,     4
49,     1,     5,     5,     7,     3,     0,     7,    10,     8,     6,     5,     1,     6,     0,     2,     2,     1,     0,     7,     1
50,     0,     7,     9,     4,     4,     1,    10,     2,     4,     4,     9,     7,     8,     0,     1,     0,     0,     1,     7,     4
51,     2,     5,     6,     3,     8,     0,     5,     1,     1,     6,     1,     0,     2,     3,     0,     6,     3,     1,     2,     1
52,     1,     1,     6,     7,     1,     0,     6,     7,     5,     6,     3,     2,    10,     1,     1,     2,     3,     2,     7,     3
53,     8,     4,     6,     7,     2,     0,     1,     5,     8,     0,     2,     2,     6,     3,     8,     2,     1,     0,     6,     6
54,     3,     9,     8,     4,     3,     1,     7,     4,     6,     5,     7,     4,     8,     0,     1,     2,     1,     3,     7,     8
55,     6,     0,     0,     6,     5,     7,     7,     1,     9,     7,     2,     4,     8,     1,     0,     0,     8,     9,     9,    10
56,     8,     1,     0,     4,     2,     8,     3,     2,     7,     9,     2,     7,    10,     1,     0,     1,     9,     9,     5,     7
57,     9,     6,     7,     6,     6,     6,     2,     2,     5,     4,     7,     8,     7,    10,     0,     0,     3,     9,     5,     5
58,     0,     6,     8,     5,     3,     0,     8,     2,     3,     4,     8,     4,     9,     0,     0,     1,     1,     0,     9,     5
59,     1,     6,     7,     4,     3,     0,     5,     2,     7,     8,     7,     7,     7,     2,     0,     1,     0,     1,     8,     4
60,     8,     2,     9,     4,     6,     7,     4,     1,     8,     4,     8,     8,     4,     8,     0,     0,     6,     8,     8,     7
61,     8,     3,     7,     4,     1,     0,     0,     2,     4,     3,     0,     2,     9,     1,     7,     1,     1,     0,     5,     6
62,     6,     0,     0,     5,     4,     6,     6,     2,     9,     9,     3,     7,    10,     1,     0,     1,     5,     7,     8,     9
63,     3,     2,     5,     3,     0,     0,     7,     8,     1,     4,     4,     0,     9,     0,     1,     0,     1,     0,     6,     2
64,    10,     4,     5,     8,     1,     1,     1,     3,     6,     1,     2,     0,     9,     2,     7,     1,     0,     1,     5,     6
65,     6,     5,     7,     3,     8,     3,     3,     4,     2,     4,     6,    10,     7,     7,     2,     1,     6,     8,     5,     6
66,     8,     3,     9,     6,     5,     6,     2,     2,     6,     2,     5,     8,     6,     8,     2,     1,     4,     9,     7,     6
67,     5,     8,     9,     6,     2,     0,     5,     2,     5,     7,     9,     4,     7,     0,     2,     2,     1,     0,     7,     7
68,     1,     3,     7,     4,    10,     0,     4,     3,     1,     9,     2,     0,     1,     0,     1,     6,     4,     2,     2,     1
69,     1,     7,    10,     4,     2,     0,     5,     0,     4,     6,     8,     4,     9,     0,     0,     2,     0,     3,     7,     4
70,    10,     3,     6,     5,     8,     5,     5,     2,     5,     4,     6,     9,     9,     8,     2,     1,     5,     9,     6,    10
71,     6,     2,     0,     1,     1,     4,     5,     0,     5,     7,     2,     3,     9,     3,     0,     1,     7,     8,     9,    10
72,     2,     1,     6,     4,     2,     1,     6,     7,     3,     6,     7,     1,     7,     1,     0,     0,     0,     1,     9,     2
73,     2,     3,     3,     4,     1,     2,     8,     7,     4,     9,     2,     1,     9,     1,     1,     1,     4,     1,     5,     0
74,     1,     3,     7,     2,     7,     1,     5,     2,     4,     8,     2,     4,     1,     0,     3,     7,     1,     4,     2,     2
75,     2,     2,     8,     5,     1,     0,     7,    10,     4,     8,     5,     0,     8,     1,     3,     1,     6,     1,     7,     2
76,     2,     2,     7,     3,     2,     0,     8,     7,     5,     3,     6,     0,     9,     0,     1,     1,     1,     2,     9,     4
77,     1,     5,     1,     5,     1,     1,     9,     8,     6,     7,     3,     0,     7,     0,     0,     2,     3,     1,     5,     4
78,     6,     0,     0,     8,     1,     5,     6,     1,     6,     6,     5,     5,     8,     4,     1,     1,     5,     7,    10,     8
79,     3,     1,     1,     5,     2,     4,     7,     2,     9,     6,     1,     4,    10,     4,     1,     2,    10,     6,     9,     8
80,     5,     1,     2,     7,     4,     6,     5,     0,     9,     8,     5,     5,    10,     1,     0,     2,     6,     7,    10,     8
81,     2,     4,     5,     2,     2,     1,     9,     7,     5,     8,     6,     2,     9,     0,     3,     0,     0,     1,     8,     3
82,     1,     5,     5,     4,     7,     0,     6,     1,     3,    10,     2,     3,     1,     2,     0,     8,     1,     4,     2,     1
83,     5,     2,     1,     1,     6,     3,     6,     1,     6,     8,     2,     4,    10,     1,     0,     2,     7,     6,    10,     8
84,     2,     4,     4,     4,     2,     1,     5,     8,     1,     5,     4,     1,     9,     3,     3,     0,     1,     0,     8,     2
85,     0,     6,     5,     4,     8,     1,     8,     2,     2,     7,     5,     0,     2,     0,     2,     9,     3,     1,     2,     0
86,     3,     2,     0,     5,     3,     5,     4,     4,    10,     7,     3,     5,    10,     2,     0,     3,     6,     7,     9,     8
87,     2,     4,     7,     5,    10,     1,     3,     2,     5,     6,     0,     2,     1,     0,     1,     8,     0,     0,     2,     2
88,     6,     4,     6,     4,     7,     5,     5,     1,     3,     8,     7,     9,     9,     8,     0,     0,     6,    10,     6,     6
89,     4,     3,     2,     4,     2,     4,     6,     2,     7,     8,     0,     8,     8,     3,     1,     1,     8,     3,     9,     9
90,     2,     9,    10,     5,     1,     0,     6,     0,     3,     5,    10,     7,     7,     1,     1,     2,     1,     1,     9,     8
91,     9,     4,     7,     7,     1,     1,     2,     2,     5,     0,     2,     0,     7,     4,     7,     0,     0,     2,     5,     3
92,     9,     1,     7,     5,     0,     0,     2,     2,     6,     1,     2,     0,     8,     4,     8,     2,     2,     1,     7,     7
93,     0,     3,     7,     3,     9,     1,     4,     2,     3,     5,     2,     1,     2,     2,     0,     8,     3,     1,     3,     2
94,     1,     3,     8,     6,     5,     1,     7,     2,     3,     8,     2,     2,     1,     3,     1,     8,     1,     2,     4,     1
95,     2,     2,     7,     7,     4,     1,     9,     8,     8,     8,     8,     0,    10,     3,     0,     2,     1,     1,     7,     2
96,     3,     4,     7,     4,     1,     0,     6,     9,     7,     7,     3,     0,     9,     2,     1,     0,     3,     0,     7,     1
97,     9,     5,     9,     4,     7,     4,     4,     2,     7,     2,     4,     9,     8,     9,     1,     0,     5,     8,     8,     9
98,     4,     9,     7,     5,     3,     0,     5,     4,     5,     9,     8,     3,     8,     2,     1,     2,     1,     1,     8,     6
99,     2,     2,     7,     6,     1,     0,     7,     8,     4,     7,     5,     0,     7,     1,     0,     1,     3,     0,     9,     4
100,    10,     6,     5,     5,     2,     1,     0,     0,     5,     1,     2,     0,     9,     2,     9,     2,     1,     2,     4,     3
101,     2,     3,     9,     3,    10,     0,     5,     1,     1,     9,     2,     2,     2,     2,     0,     7,     0,     2,     3,     0
102,     8,     3,     5,     7,     1,     0,     1,     1,     4,     2,     0,     0,     7,     2,     7,     1,     1,     3,     5,     6
103,     3,     1,     4,     7,     3,     6,     6,     2,     7,     6,     3,     6,     7,     2,     1,     2,     7,     5,     8,     9
104,     9,     5,     9,     6,    10,     5,     3,     3,     3,     7,     6,     7,     8,     8,     2,     1,     4,     9,     7,     8
105,     0,     6,     8,     5,     8,     2,     6,     2,     2,     8,     3,     2,     1,     2,     0,     9,     3,     1,     0,     0
106,     3,     2,     1,     4,     4,     3,     8,     0,     8,     7,     2,     3,     6,     2,     0,     2,     9,     6,     9,    10
107,     2,     8,     8,     3,     3,     0,     7,     1,     4,     7,     8,     6,     7,     0,     1,     1,     1,     1,     7,     8
108,     8,     6,     8,     4,     8,     8,     7,     1,     5,     4,     7,    10,     7,    10,     0,     1,     5,     7,     7,     9
109,     4,     0,     0,     5,     4,     2,     3,     0,     8,     9,     5,     5,    10,     2,     0,     3,     8,     8,    10,     8
110,     6,     2,     0,     6,     2,     6,     4,     0,     9,     6,     1,     3,     9,     3,     1,     1,     6,     8,     9,     8
111,     6,     4,     9,     5,     5,     4,     3,     3,     2,     8,     6,     8,     7,     9,     0,     0,     3,    10,     7,     7
112,     4,     2,     7,     6,     9,     0,     5,     3,     6,     7,     0,     2,     0,     1,     1,     8,     2,     3,     1,     0
113,     4,     7,     7,     4,     6,     2,     7,     3,     5,     4,     8,     5,     8,     1,     1,     0,     0,     0,     7,     5
114,     7,     2,     6,     4,     1,     0,     2,     3,     5,     1,     1,     1,     7,     3,     9,     3,     2,     0,     7,     7
115,     7,     6,     4,     8,     9,     7,     3,     1,     6,     5,     8,    10,     7,     7,     1,     0,     7,     7,     8,     9
116,     3,     8,     9,     4,     4,     1,     4,     0,     3,     7,     9,     7,    10,     2,     0,     3,     0,     2,     8,     6
117,     4,     3,     9,     4,     8,     0,     5,     2,     4,     6,     1,     3,     0,     2,     1,     7,     0,     1,     4,     1
118,     8,     3,     8,     5,     7,     4,     8,     3,     5,     5,     5,     8,     8,     7,     3,     1,     8,     9,     6,     8
119,     7,     5,     2,     6,     0,     0,     0,     2,     1,     3,     1,     2,     6,     3,     8,     0,     1,     1,     7,     8
120,     8,     5,     0,     3,     1,     3,     6,     0,     6,     7,     0,     8,     5,     3,     0,     1,     7,     6,     9,     9
121,     8,     4,     6,     4,     0,     0,     0,     1,     3,     1,     4,     1,     6,     1,    10,     4,     1,     4,     4,     8
122,     9,     6,     6,     4,     0,     1,     2,     1,     4,     1,     3,     0,     9,     4,     8,     2,     1,     1,     8,     5
123,     0,     7,     9,     6,     5,     1,     6,     3,     7,     7,     8,     4,    10,     0,     1,     2,     0,     1,     9,     4
124,     0,     5,     5,     4,     2,     1,     6,     2,     5,     7,     8,     5,     9,     1,     0,     2,     0,     0,     7,     6
125,     5,     1,     1,     4,     4,     5,     4,     2,     9,     9,     0,     6,     9,     1,     1,     1,     6,     9,     8,     7
126,     2,     5,     9,     6,     2,     1,     5,     2,     7,     7,     7,     4,     8,     1,     3,     2,     1,     2,     9,     3
127,     4,     1,     1,     2,     3,     5,     7,     2,     8,     7,     1,     5,     9,     0,     0,     2,     7,     7,     9,     7
128,     4,     0,     0,     5,     0,     5,     7,     1,     8,     7,     2,     6,     9,     2,     0,     1,     7,     7,    10,     9
129,     4,     3,     5,     2,     9,     0,     5,     1,     3,     7,     1,     4,     1,     2,     0,    10,     2,     3,     4,     1
130,     3,     5,     9,     3,     3,     1,     7,     1,     5,     6,     7,     2,    10,     1,     1,     1,     0,     1,     5,     4
131,     1,     5,     9,     6,     5,     1,     2,     0,     2,     6,     8,     7,     6,     3,     3,     2,     0,     1,     8,     6
132,     3,     3,     0,     4,     5,     4,     8,     1,     7,     9,     3,     6,    10,     1,     0,     2,     8,     6,     9,     8
133,     9,     4,     7,     4,     0,     0,     1,     3,     3,     1,     1,     0,     9,     3,     9,     0,     0,     2,     9,     7
134,     9,     4,     5,     5,     0,     0,     2,     3,     5,     1,     3,     1,     9,     3,     8,     0,     0,     3,     5,     5
135,     9,     0,     5,     5,     1,     2,     0,     1,     7,     1,     2,     1,     9,     3,     6,     0,     2,     1,     7,     7
136,     4,     8,     7,     7,     4,     0,     4,     1,     4,     8,     9,     5,     8,     2,     0,     1,     1,     2,     8,     4
137,     7,     5,     7,     4,     8,     8,     6,     1,     4,     6,     6,     7,     6,     8,     0,     0,     6,     9,     9,     6
138,     1,     3,     8,     5,     8,     0,     3,     1,     4,     4,     2,     4,     3,     1,     0,     8,     3,     1,     1,     1
139,     8,     4,     7,     6,     9,     8,     5,     0,     3,     6,     8,     9,     8,     7,     3,     2,     5,     8,     5,     7
140,     1,     5,     9,     2,     7,     0,     6,     4,     2,     8,     1,     1,     1,     3,     2,     9,     1,     0,     4,     2
141,     9,     5,     8,     7,     9,     3,     6,     2,     5,     4,     6,     9,     8,     7,     0,     0,     6,     7,     7,     7
142,     9,     4,     0,     4,     2,     6,     5,     3,     8,     8,     3,     6,     6,     0,     1,     3,     6,     6,     9,     9
143,     7,     4,     8,     4,     7,     6,     3,     2,     4,     4,     8,     9,     9,     9,     2,     1,     3,     8,     7,     7
144,     4,     5,     7,     3,     3,     3,     6,     1,     4,     6,     7,     6,     9,     1,     1,     1,     1,     2,     8,     3
145,     4,     7,     7,     5,     7,     1,     6,     1,     5,     7,     1,     3,     1,     4,     1,     6,     1,     1,     2,     0
146,     1,     1,     7,     4,     7,     0,     6,     2,     4,     6,     3,     3,     1,     3,     0,     9,     3,     2,     1,     3
147,     4,     4,     8,     5,     7,     0,     7,     4,     1,     9,     1,     2,     1,     2,     2,     8,     3,     2,     2,     3
148,     5,     2,     2,     5,     2,     4,     8,     2,     7,     8,     5,     4,    10,     2,     0,     1,     7,     6,    10,     6
149,     3,     1,     1,     6,     1,     4,     3,     4,     4,     5,     4,     5,     9,     0,     0,     1,     9,     8,     8,     8
150,     1,     1,     7,     2,     7,     1,     3,     1,     1,     7,     2,     1,     2,     1,     2,     8,     1,     4,     1,     4
151,     0,     8,     3,     5,     3,     0,     7,     6,     8,     5,     5,     2,     8,     1,     0,     1,     2,     0,     8,     1
152,     1,     2,     7,     6,     1,     0,     9,     6,     5,     6,     4,     1,     8,     0,     2,     2,     2,     0,     6,     1
153,     7,     4,     9,     4,     8,     8,     7,     2,     5,     3,     6,     8,     7,     7,     0,     4,     5,     7,     8,     8
154,    10,     0,     5,     4,     0,     0,     0,     2,     5,     1,     2,     0,     9,     3,     9,     1,     0,     2,     9,     7
155,     9,     4,     3,     4,     0,     0,     1,     1,     5,     0,     3,     2,    10,     4,     8,     1,     0,     2,     6,     6
156,    10,     3,     7,     6,     1,     0,     1,     1,     5,     0,     5,     2,     9,     2,     8,     0,     2,     0,     8,     7
157,     8,     4,     8,     5,     9,     8,     7,     2,     6,     3,     9,     7,     9,    10,     2,     0,     6,    10,     7,     6
158,     3,     6,    10,     4,     3,     3,     5,     2,     4,     8,     8,     4,     9,     0,     0,     0,     2,     1,     6,     2
159,     8,     6,     5,     4,     8,     8,     6,     0,     6,     6,     8,    10,     4,     5,     1,     1,     2,     6,     7,     6
160,     2,     8,     8,     2,     4,     0,     5,     2,     7,    10,     8,     6,     7,     2,     2,     1,     0,     1,     8,     8
161,     7,     2,     6,     4,     1,     1,     2,     0,     4,     0,     3,     1,     7,     3,     8,     1,     2,     0,     8,     4
162,     3,     4,     7,     4,     4,     1,     6,     3,     4,     9,     6,     4,     9,     2,     1,     0,     0,     1,     6,     4
163,     2,     8,     4,     4,     1,     1,     5,     2,     3,     5,     7,     5,     7,     0,     1,     0,     0,     2,     7,     4
164,     2,     7,     5,     4,     9,     1,     2,     0,     4,     7,     4,     3,     1,     2,     1,     8,     2,     4,     0,     1
165,     4,     2,     2,     4,     3,     4,     7,     0,     6,     8,     2,     4,     8,     1,     0,     0,     7,     7,     9,     7
166,     3,     7,     7,     5,     2,     1,     6,     1,     7,     9,     8,     6,     9,     0,     1,     0,     0,     1,     8,     5
167,     3,     2,     1,     7,     2,     6,     6,     2,     9,     9,     4,     5,     9,     5,     1,     1,     9,     6,    10,     9
168,     1,     4,     7,     4,     0,     0,     7,     9,     7,     7,     8,     1,     4,     0,     0,     0,     3,     0,     8,     2
169,     3,     3,     5,     2,     6,     1,     4,     0,     6,     9,     0,     3,     4,     2,     0,     7,     2,     3,     4,     1
170,     8,     2,     5,     9,     1,     0,     2,     2,     7,     1,     2,     2,     8,     1,     9,     0,     0,     0,     6,     6
171,     2,     7,     8,     5,     3,     1,     6,     1,     5,     8,     6,     5,     8,     1,     2,     1,     2,     1,     6,     8
172,     1,     7,     6,     2,     3,     0,     6,     3,     4,     8,     9,     3,     7,     1,     2,     1,     2,     2,     7,     2
173,     6,     2,     0,     7,     2,     5,     4,     2,    10,     5,     2,     4,     9,     3,     1,     1,     8,     5,    10,     9
174,     7,     5,     4,     2,     0,     0,     2,     1,     5,     1,     1,     0,     9,     4,     8,     2,     0,     2,     6,     4
175,     9,     4,     9,     5,     8,     8,     5,     3,     5,     3,     9,     7,     9,     9,     0,     0,     7,     8,     6,     6
176,     2,     3,     7,     6,     0,     0,     9,     7,     1,     4,     6,     2,     8,     1,     1,     1,     1,     0,     6,     3
177,     9,     2,     4,     4,     0,     0,     4,     2,     4,     0,     1,     3,     6,     1,     6,     0,     1,     0,     5,     7
178,     2,     6,     9,     5,     7,     1,     3,     0,     3,     6,     9,     5,     9,     1,     1,     2,     1,     1,     3,     4
179,     0,     3,     8,     7,     8,     0,     6,     1,     2,     6,     3,     1,     3,     2,     0,     5,     2,     3,     1,     4
180,     8,     4,     6,     4,     9,     7,     7,     1,     2,     4,    10,     7,     7,     7,     2,     0,     2,     9,     8,     7
181,     3,     0,     2,     6,     6,     7,     5,     2,     8,     7,     5,     6,     7,     4,     0,     2,     7,     9,    10,     9
182,     7,     3,     8,     7,     0,     2,     0,     1,     5,     2,     2,     2,     4,     2,     8,     0,     4,     1,     5,     6
183,     1,     1,     8,     5,     8,     0,     7,     1,     2,     8,     2,     0,     0,     1,     0,     5,     2,     1,     3,     2
184,     8,     1,     4,     6,     0,     0,     3,     3,     5,     1,     4,     1,     7,     0,     5,     1,     0,     4,     6,     8
185,     4,     2,     0,     7,     3,     5,     8,     1,    10,     6,     2,     6,     9,     2,     1,     1,     4,     9,    10,    10
186,     7,     4,     6,     5,     6,     5,     5,     1,     5,     3,     8,     7,     7,     9,     1,     0,     3,     6,     4,     6
187,     2,     4,     4,     7,     1,     1,     9,     8,     4,     5,     5,     1,     9,     0,     1,     1,     3,     1,     8,     0
188,     2,     7,     7,     3,     4,     1,     3,     2,     8,     8,     9,     6,     7,     2,     4,     1,     0,     0,     7,     6
189,     1,     2,     6,     7,     7,     1,     7,     2,     3,     4,     2,     2,     2,     0,     0,     9,     3,     1,     1,     2
190,     8,     2,     8,     4,     0,     0,     0,     0,     2,     2,     1,     2,     8,     2,     8,     0,     1,     2,     7,     5
191,     6,     6,     7,     5,     8,     7,     3,     2,     4,     4,     8,     8,     7,     9,     0,     0,     5,     8,     4,     5
192,     2,     3,     6,     5,     8,     1,     6,     2,     2,     7,     4,     1,     2,     0,     0,    10,     2,     2,     2,     1
193,     2,     4,     9,     5,     8,     0,     8,     1,     5,     7,     1,     2,     1,     1,     1,     7,     1,     2,     1,     0
194,    10,     4,     6,     2,     8,     5,     7,     2,     5,     3,     7,     6,     8,     6,     1,     0,     8,     8,     6,     6
195,     3,     5,     8,     7,     3,     0,     7,     2,     6,     5,     7,     4,     6,     1,     2,     0,     1,     1,     7,     4
196,     8,     2,     5,     6,     0,     0,     2,     2,     3,     0,     4,     1,     7,     0,     9,     2,     0,     1,     6,     6
197,     0,     3,     6,     8,     9,     0,     2,     1,     1,     8,     3,     0,     3,     3,     1,     8,     0,     1,     2,     1
198,     1,     8,     7,     4,     6,     0,     4,     1,     4,     6,    10,     5,     6,     1,     0,     0,     1,     2,     8,     8
199,     6,     5,     5,     4,     9,     6,     6,     1,     5,     3,     7,     8,     8,     9,     0,     0,     8,    10,     7,     3
200,     5,     4,     0,     5,     2,     7,     9,     2,     7,     9,     3,     7,     9,     3,     0,     0,     5,     5,    10,     9
201,     4,     0,     1,     4,     1,     5,     4,     4,     8,     7,     4,     8,     9,     0,     0,     3,     8,     8,    10,     9
202,     1,     2,     7,     6,    10,     0,     3,     1,     3,     7,     3,     2,     1,     4,     1,     6,     1,     4,     5,     1
203,    10,     3,     2,     6,     0,     1,     1,     3,     2,     1,     0,     1,     5,     0,    10,     1,     2,     2,     8,     6
204,     7,     8,     7,     5,     8,     8,     6,     1,     5,     2,     6,     8,     7,     8,     1,     1,     5,    10,     7,     8
205,     4,     0,     1,     3,     2,     7,     5,     2,     8,     9,     2,     0,     5,     1,     0,     2,     8,     8,     6,     9
206,     9,     4,     8,     5,     0,     0,     2,     2,     1,     0,     2,     0,     8,     3,     8,     1,     0,     0,     9,     6
207,     3,     2,     1,     3,     3,     4,     5,     1,    10,    10,     1,     5,    10,     1,     0,     0,     8,     5,    10,     9
208,     5,     1,     1,     5,     5,     4,     6,     0,     9,     9,     4,     7,     9,     0,     0,     1,     8,     9,    10,     7
209,     4,     2,     2,     8,     4,     5,     4,     1,     8,     8,     3,     9,    10,     3,     2,     1,    10,     8,     9,     6
210,     3,     8,     9,     3,     9,     1,     7,     2,     4,     8,     3,     1,     2,     2,     0,     6,     2,     1,     1,     0
211,     7,     4,     4,     6,     4,     2,     4,     2,     9,     6,     2,     4,    10,     2,     0,     0,     8,     6,     8,     8
212,     4,     3,     0,     5,     6,     5,     6,     3,    10,     8,     3,     4,     8,     1,     0,     2,     7,     7,    10,     9
213,     8,     4,     4,     2,     1,     1,     0,     0,     4,     0,     2,     0,     9,     2,     7,     2,     2,     0,     9,     6
214,     9,     7,     8,     6,     9,     5,     6,     2,     3,     2,     4,     8,     5,     7,     5,     1,     3,     9,     6,     5
215,     0,     6,     7,     5,     4,     1,     6,     2,     4,     8,    10,     4,     8,     2,     1,     0,     2,     2,     8,     4
216,     0,     5,     4,     5,     2,     1,     7,     8,     5,     5,     5,     0,    10,     1,     1,     1,     2,     0,     7,     1
217,     2,     3,     6,     5,     6,     0,     3,     2,     4,     8,     2,     2,     4,     2,     1,     7,     2,     3,     3,     0
218,     9,     7,     8,     5,     6,     5,     5,     2,     4,     5,     6,     6,     9,     8,     1,     0,     5,    10,     7,     5
219,     1,     7,     3,     4,     4,     2,     7,     2,     4,     9,     9,     4,     7,     1,     2,     0,     1,     0,     9,     7
220,     9,     5,     8,     6,     0,     0,     0,     3,     5,     0,     6,     1,     9,     0,     9,     0,     0,     1,     6,     6
221,     3,     3,     0,     3,     3,     5,     9,     1,     7,     8,     0,     6,     9,     2,     1,     1,     8,     5,     9,     9
222,     3,     7,     8,     6,     3,     0,     5,     4,     5,     9,     9,     5,     6,     1,     0,     2,     0,     0,     8,     4
