DomntHnd,FavColor,NumColors,TeamSprt,IndvSprt,SchoolClb,MusicInstrument,BreakfastDrink,FavCookie,FavPizzaTop,DinnerDrink,FavIceCream,FavSeason,SleepHrs,NumOthrCourse,Height,ShoeSize,ShirtSize,AimGrde,FnlGrade
Right,Blue,11,Cricket,none,Computer,Cello,Nada,Crumpets,Mushrooms,Cola,MintChip,Spring,6.5,5,5.8,9.0,LG,A,D
Right,Cyan,12,Equestrian,Track,Debate,Piano,Smoothie,DoubleChoc,Ham,MilkShake,CreamSicle,Summer,6.5,4,6.2,11.0,XL,A,D
Right,Cyan,12,Equestrian,none,none,Euphonium,Smoothie,DoubleChoc,Broccoli,MilkShake,CreamSicle,Spring,6.5,3,5.8,9.5,MD,A,D
Right,Red,12,none,none,none,Violin,OJ,DoubleChoc,Pineapples,RootBeer,Vanilla,Summer,6.5,4,5.5,9.5,MD,A,D
Right,Black,12,Equestrian,RockClimbing,none,None,OJ,DoubleChoc,Pineapples,Coffee,Sherbert,Summer,7.5,3,5.2,7.0,SM,B,D
Right,Blue,12,DodgeBall,Wrestling,Chess,Drums,Water,PeanutButter,Sausage,Milk,Ripple,Winter,6.5,5,6.0,10.0,LG,A,C
Right,Black,12,DodgeBall,Wrestling,Chess,Drums,Water,Oatmeal,Broccoli,Tea,Chocolate,Autumn,5.5,4,6.5,11.5,XL,A,C
Right,Red,12,AmFtBall,none,none,Guitar,Water,ChocKrinkle,Bacon,Water,Chocolate,Autumn,6.0,4,6.0,9.0,LG,A,C
Right,Magenta,12,Equestrian,Track,Debate,Euphonium,OJ,DoubleChoc,Olives,MilkShake,CreamSicle,Spring,5.5,4,5.2,8.0,SM,B,C
Right,Blue,11,DodgeBall,Wrestling,Chess,None,Water,Oatmeal,Sausage,Tea,Ripple,Fall,6.0,4,5.0,8.5,MD,A,C
Right,Blue,12,Tennis,Track,ModelUN,Euphonium,Coffee,ChocKrinkle,Sausage,Coffee,Chocolate,Winter,5.5,5,5.8,8.5,MD,A,C
Left,Cyan,12,Equestrian,none,Debate,Euphonium,Smoothie,DoubleChoc,Olives,Milk,Chocolate,Spring,5.0,5,5.5,9.5,MD,B,C
Right,Blue,12,Tennis,Swimming,none,Guitar,Fruit,PeanutButter,Sausage,Milk,Pecan,Spring,5.5,5,6.0,9.0,LG,A,C
Right,Blue,12,VolleyBall,Golf,Computer,Cello,Tea,Crumpets,Mushrooms,Cola,Pecan,Summer,5.5,4,5.8,9.0,LG,A,C
Right,Blue,12,DodgeBall,Wrestling,Chess,None,Water,Oatmeal,Sausage,Tea,Pecan,Winter,5.5,6,5.8,10.0,LG,B,C
Right,Blue,12,Soccer,Archery,Debate,Bass,Coffee,ChocKrinkle,PlainCheese,Milk,Chocolate,Summer,5.5,4,6.0,9.5,LG,A,C
Right,Blue,12,none,Swimming,Chess,Euphonium,OJ,Fortune,Pineapples,Coffee,Strawberry,Spring,5.5,4,6.0,7.5,SM,A,C
Left,Magenta,12,CheerLdng,Pool,none,Piano,PruneJuice,PeanutButter,Peppers,Water,Pecan,Autumn,6.5,4,5.8,10.0,LG,A,C
Right,Blue,12,AmFtBall,none,Robotics,Violin,Coffee,ChocKrinkle,Bacon,Water,Chocolate,Spring,5.0,4,5.8,9.0,LG,A,C
Right,Blue,12,DodgeBall,Wrestling,Chess,Drums,Water,Oatmeal,Sausage,Tea,Pecan,Spring,5.0,5,5.2,7.5,SM,A,C
Right,Yellow,12,none,Pool,Math,Bass,OJ,Sugar,Pineapples,Tea,Mocha,Summer,6.0,4,6.8,11.0,XL,A,C
Right,Black,12,DodgeBall,Wrestling,Chess,Vocal,Water,RiceKrispy,Sausage,Tea,Mocha,Winter,5.5,5,5.8,11.0,LG,A,C
Right,Yellow,12,Cricket,Golf,none,Cello,Tea,Crumpets,Mushrooms,Cola,Pecan,Fall,5.0,5,6.2,9.5,XL,A,C
Right,Red,11,CheerLdng,none,Robotics,Drums,Fruit,ChocKrinkle,Bacon,Water,Chocolate,Autumn,5.5,5,6.0,10.0,MD,A,C
Right,Blue,11,CheerLdng,none,none,Vocal,OJ,PeanutButter,Pineapples,Water,Pecan,Summer,6.0,4,6.0,10.0,LG,A,C
Right,Blue,11,AmFtBall,none,Robotics,Violin,Coffee,ChocKrinkle,Bacon,Milk,Chocolate,Summer,5.5,4,6.2,9.5,LG,A,C
Right,Blue,10,Cricket,Golf,Computer,Cello,Fruit,Crumpets,Mushrooms,Water,Pecan,Fall,5.5,5,5.8,8.0,SM,A,C
Right,Red,12,AmFtBall,none,Robotics,Violin,Fruit,ChocKrinkle,Bacon,Milk,Pecan,Autumn,5.5,5,5.8,9.0,MD,B,C
Right,Red,11,FieldHockey,none,Robotics,Violin,Coffee,ChocKrinkle,PlainCheese,Water,Chocolate,Fall,5.5,4,5.8,8.5,LG,A,C
Right,Magenta,12,AmFtBall,none,Robotics,Violin,Coffee,ChocKrinkle,Bacon,Water,Chocolate,Summer,7.0,4,6.0,10.0,LG,B,C
Right,Yellow,11,Equestrian,Badminton,Chess,Vocal,Coffee,ChocKrinkle,Pepperoni,Water,Chocolate,Spring,7.0,6,6.0,10.0,LG,A,C
Right,Brown,11,AmFtBall,none,Robotics,Violin,Coffee,ChocKrinkle,Pepperoni,Water,Chocolate,Winter,7.0,4,5.5,9.0,MD,A,C
Right,Yellow,12,Badminton,RockClimbing,ModelUN,Bass,OJ,ChocChip,PlainCheese,Milk,Vanilla,Summer,6.0,5,6.2,10.5,LG,A,C
Right,Orange,12,Fencing,RockClimbing,Math,Euphonium,Fruit,RiceKrispy,PlainCheese,Milk,Pecan,Fall,5.5,4,6.2,10.0,LG,A,C
Left,Black,12,AmFtBall,Wrestling,Chess,None,Water,Oatmeal,Sausage,Tea,Ripple,Winter,5.5,5,5.8,10.0,LG,B,C
Right,Blue,12,Parkour,Golf,Debate,Piano,PruneJuice,PeanutButter,Peppers,Papaya,Pecan,Autumn,6.5,4,5.2,7.5,SM,A,C
Right,Blue,12,Tennis,Pool,Photography,None,PruneJuice,PeanutButter,Peppers,Papaya,Pecan,Autumn,5.5,5,5.8,8.0,SM,A,C
Right,Blue,12,Cricket,Golf,Computer,Guitar,Tea,Crumpets,Mushrooms,Cola,Mocha,Fall,7.0,5,5.2,7.5,SM,B,C
Right,Yellow,12,Equestrian,Swimming,none,None,OJ,Oatmeal,Mushrooms,Milk,Chocolate,Spring,6.0,5,6.2,10.5,LG,A,C
Right,Blue,12,AmFtBall,Badminton,ModelUN,Vocal,Fruit,RiceKrispy,Anchovies,Tea,Chocolate,Summer,5.0,4,6.2,11.5,LG,A,C
Right,Magenta,12,Tennis,Pool,none,Piano,PruneJuice,PeanutButter,Peppers,Papaya,Mocha,Autumn,7.0,4,5.2,7.5,SM,B,C
Right,Cyan,12,none,Track,ModelUN,Euphonium,Smoothie,DoubleChoc,Olives,Milk,CreamSicle,Spring,5.0,5,5.5,8.0,SM,A,C
Right,Blue,11,Tennis,RockClimbing,none,Harp,Water,RiceKrispy,Mushrooms,Milk,Chocolate,Spring,6.5,4,6.2,11.5,XL,A,C
Right,Blue,11,Fencing,Pool,none,None,OJ,PeanutButter,Pineapples,Milk,Chocolate,Spring,6.0,4,5.2,8.5,MD,A,C
Right,Blue,11,Cricket,Golf,Computer,None,Tea,Crumpets,Mushrooms,Milk,MintChip,Fall,5.0,4,6.0,9.5,LG,A,C
Right,Blue,12,VolleyBall,Wrestling,Math,Vocal,Coffee,ChocKrinkle,PlainCheese,Milk,Mocha,Summer,5.0,4,5.5,9.5,MD,A,C
Right,Cyan,12,Equestrian,Track,none,Euphonium,Smoothie,DoubleChoc,Olives,Coffee,CreamSicle,Autumn,5.5,4,5.2,8.0,SM,B,C
Right,Green,11,Badminton,RockClimbing,ModelUN,None,OJ,ChocChip,Ham,Milk,Vanilla,Autumn,5.5,5,6.0,10.5,MD,A,C
Right,Black,11,Equestrian,Wrestling,Chess,None,Water,Oatmeal,Sausage,Tea,Chocolate,Winter,6.0,5,5.8,9.0,LG,B,C
Right,Cyan,11,Soccer,Wrestling,Debate,Euphonium,Fruit,DoubleChoc,Olives,MilkShake,CreamSicle,Spring,5.5,5,5.8,8.0,SM,B,C
Right,Magenta,13,Parkour,Pool,none,Drums,Water,PeanutButter,Peppers,Papaya,Pecan,Autumn,5.5,4,5.2,9.5,MD,A,C
Right,Blue,13,Soccer,Badminton,none,None,OJ,Oatmeal,Pineapples,Milk,Mocha,Summer,6.0,4,6.0,8.5,MD,B,C
Right,Magenta,12,Parkour,Swimming,none,None,OJ,Fortune,Pineapples,Water,Chocolate,Spring,7.0,4,6.2,10.0,XL,A,C
Right,Green,12,Rugby,RockClimbing,ModelUN,Bass,Water,ChocChip,Ham,Milk,Vanilla,Summer,5.5,5,6.8,12.5,XL,B,C
Right,Magenta,12,none,Badminton,none,Euphonium,OJ,PeanutButter,Pineapples,Tea,Mocha,Spring,6.5,5,6.5,10.0,LG,A,C
Right,Blue,12,Cricket,Golf,Computer,Euphonium,Tea,PeanutButter,Mushrooms,Milk,MintChip,Fall,5.5,5,6.2,11.5,LG,A,C
Right,Magenta,12,VolleyBall,Badminton,none,Harp,OJ,Fortune,Sausage,Milk,Chocolate,Spring,5.5,5,5.5,10.0,MD,A,C
Right,Magenta,12,Parkour,Wrestling,Photography,Piano,PruneJuice,PeanutButter,Mushrooms,Papaya,Pecan,Autumn,6.5,5,5.8,8.5,MD,B,C
Right,Blue,11,VolleyBall,RockClimbing,none,Vocal,Water,RiceKrispy,Sausage,Milk,Mocha,Autumn,7.0,5,6.2,11.0,XL,A,C
Left,Yellow,12,Soccer,Track,Debate,None,Water,RiceKrispy,Pepperoni,Water,Chocolate,Spring,6.0,4,5.8,9.0,LG,A,C
Right,Blue,11,Parkour,Swimming,Chess,Harp,Coffee,ChocKrinkle,PlainCheese,Milk,Chocolate,Summer,5.5,5,5.5,7.5,SM,B,C
Right,Green,11,Badminton,RockClimbing,ModelUN,Bass,OJ,PeanutButter,Pepperoni,Milk,Pecan,Summer,5.5,5,5.8,10.0,LG,A,C
Right,Green,12,Badminton,RockClimbing,ModelUN,Bass,OJ,ChocChip,PlainCheese,Tea,Vanilla,Summer,5.5,4,5.8,10.0,XL,A,C
Right,Blue,12,Cricket,Badminton,Computer,Cello,OJ,Crumpets,Mushrooms,Cola,MintChip,Fall,5.5,5,5.8,8.0,SM,B,C
Right,Magenta,12,Cricket,Golf,Computer,Cello,Tea,Crumpets,Mushrooms,Cola,Chocolate,Fall,5.0,4,5.5,8.0,SM,A,C
Right,Yellow,12,Soccer,Swimming,Math,Guitar,Coffee,ChocKrinkle,PlainCheese,Milk,Mocha,Summer,5.5,4,6.0,10.5,LG,A,C
Right,Yellow,12,VolleyBall,none,Computer,Guitar,Coffee,ChocKrinkle,PlainCheese,Water,Chocolate,Summer,5.5,5,6.0,9.5,LG,A,C
Right,Blue,12,VolleyBall,Swimming,ModelUN,None,Coffee,ChocKrinkle,PlainCheese,FruitJuice,Chocolate,Autumn,6.0,5,5.5,7.5,SM,A,C
Right,Green,11,Badminton,RockClimbing,none,Bass,OJ,ChocChip,Ham,Milk,Vanilla,Autumn,6.0,5,5.8,8.0,SM,A,C
Right,Blue,11,Equestrian,Swimming,none,Bass,OJ,RiceKrispy,Pepperoni,Water,Pecan,Autumn,6.5,5,6.2,10.5,LG,A,C
Right,Blue,12,Parkour,Pool,Debate,None,Fruit,Fortune,PlainCheese,Tea,Chocolate,Winter,5.5,4,6.0,9.5,LG,A,C
Right,Green,12,Badminton,Pool,ModelUN,Bass,OJ,ChocChip,PlainCheese,Water,Vanilla,Summer,6.5,4,6.0,10.0,XL,A,C
Right,Magenta,11,Badminton,RockClimbing,Debate,Bass,OJ,Fortune,Ham,Milk,Vanilla,Summer,5.5,4,6.0,10.5,LG,A,C
Right,Blue,12,Soccer,RockClimbing,Debate,None,OJ,Fortune,Pineapples,Water,Pecan,Spring,5.0,4,5.8,9.0,MD,B,C
Right,Blue,12,Equestrian,Wrestling,none,Vocal,OJ,RiceKrispy,Pineapples,Milk,Strawberry,Spring,6.0,4,5.5,7.5,SM,A,C
Right,Magenta,11,DodgeBall,Wrestling,none,Drums,OJ,Oatmeal,Pineapples,Water,Chocolate,Summer,5.0,5,5.5,9.0,MD,A,C
Right,Magenta,12,Equestrian,Track,Debate,Euphonium,Water,DoubleChoc,Olives,MilkShake,CreamSicle,Summer,5.5,5,6.2,9.0,LG,B,C
Right,Yellow,12,Rugby,RockClimbing,Chess,Guitar,Water,RiceKrispy,Mushrooms,Water,Mocha,Autumn,5.5,4,5.5,8.5,LG,B,C
Right,Magenta,12,Parkour,Swimming,Photography,Piano,PruneJuice,Fortune,Peppers,Papaya,Pecan,Spring,6.0,4,6.0,10.0,LG,B,C
Right,Magenta,12,Rugby,none,Robotics,None,OJ,PeanutButter,Pineapples,Tea,Chocolate,Autumn,5.5,5,6.0,9.0,MD,A,C
Right,Blue,11,Fencing,Badminton,none,Guitar,Fruit,none,Mushrooms,Milk,Chocolate,Spring,5.5,4,5.5,8.5,LG,A,C
Right,Cyan,12,Equestrian,Badminton,Debate,Euphonium,Smoothie,PeanutButter,Olives,MilkShake,CreamSicle,Spring,7.0,5,5.8,10.0,LG,A,C
Left,Red,12,AmFtBall,none,none,Violin,Coffee,ChocKrinkle,PlainCheese,Water,Chocolate,Autumn,7.0,5,5.8,8.5,MD,A,C
Right,Magenta,11,Fencing,RockClimbing,ModelUN,None,Water,Oatmeal,PlainCheese,Milk,Pecan,Summer,5.5,4,5.5,9.0,LG,A,C
Right,Black,12,DodgeBall,RockClimbing,Chess,Drums,Fruit,RiceKrispy,Sausage,Tea,Ripple,Winter,6.5,5,5.0,7.0,SM,A,C
Right,Magenta,12,VolleyBall,Badminton,none,None,OJ,PeanutButter,Pineapples,Milk,Strawberry,Spring,6.0,5,6.2,11.0,LG,A,C
Right,Yellow,13,Fencing,RockClimbing,Debate,None,OJ,RiceKrispy,Mushrooms,Water,Mocha,Fall,6.0,5,6.0,10.0,LG,A,C
Right,Yellow,11,FieldHockey,RockClimbing,ModelUN,Bass,OJ,ChocChip,PlainCheese,Milk,Vanilla,Summer,6.0,4,6.0,11.0,XL,A,C
Right,Blue,11,VolleyBall,Badminton,none,None,OJ,Oatmeal,Pineapples,Milk,Mocha,Autumn,6.5,5,6.0,10.5,XL,A,C
Right,Red,11,FieldHockey,none,Robotics,Violin,Water,PeanutButter,Bacon,Water,Chocolate,Autumn,6.0,4,6.0,11.0,LG,A,C
Right,Magenta,12,Cricket,Badminton,Math,None,OJ,RiceKrispy,PlainCheese,Milk,Chocolate,Summer,7.0,5,5.8,9.5,LG,A,C
Right,Blue,11,Parkour,Swimming,Math,Guitar,Coffee,ChocKrinkle,PlainCheese,Water,Chocolate,Winter,5.5,5,6.2,12.0,XL,A,C
Right,Black,12,DodgeBall,Wrestling,Chess,Drums,Water,Oatmeal,Sausage,Water,Mocha,Summer,6.5,4,6.2,10.0,XL,A,C
Right,Blue,12,VolleyBall,none,none,Bass,OJ,Oatmeal,Pineapples,FruitJuice,Mocha,Fall,6.5,4,5.8,8.0,SM,A,C
Right,Cyan,11,Equestrian,Track,Chess,Euphonium,Water,DoubleChoc,Olives,MilkShake,CreamSicle,Summer,6.5,4,6.0,9.0,LG,A,C
Right,Blue,11,Tennis,Wrestling,Math,None,Coffee,ChocKrinkle,Pepperoni,Water,Pecan,Summer,6.5,4,5.5,10.0,LG,A,C
Right,Green,11,Fencing,Swimming,Math,Bass,OJ,ChocChip,Ham,Milk,Vanilla,Summer,6.5,4,6.0,8.5,MD,A,C
Right,Blue,12,Parkour,Track,ModelUN,None,OJ,PeanutButter,Pepperoni,Coffee,Chocolate,Summer,5.0,5,5.8,9.0,LG,B,C
Right,Green,11,Badminton,RockClimbing,ModelUN,Bass,OJ,RiceKrispy,Ham,Tea,Chocolate,Summer,5.5,5,5.8,9.5,MD,A,C
Right,Black,12,DodgeBall,Wrestling,Chess,Drums,Water,RiceKrispy,Sausage,Tea,Ripple,Fall,6.5,4,5.8,8.0,SM,A,C
Right,Red,12,Equestrian,none,Robotics,Violin,Coffee,ChocKrinkle,Bacon,Milk,Chocolate,Autumn,6.0,5,6.2,11.5,XL,A,C
Right,Cyan,12,Tennis,Track,Debate,Euphonium,OJ,DoubleChoc,Olives,Water,CreamSicle,Spring,5.5,5,5.5,7.5,SM,A,C
Right,Yellow,12,Equestrian,Wrestling,Chess,Vocal,OJ,RiceKrispy,Pineapples,Water,Chocolate,Spring,5.5,4,6.0,10.0,LG,A,C
Right,Blue,12,Rugby,Track,Chess,None,Water,RiceKrispy,Sausage,Coffee,Chocolate,Fall,6.0,4,6.2,12.5,XL,A,C
Right,Blue,11,DodgeBall,Wrestling,Chess,Drums,Water,Oatmeal,Sausage,Milk,Chocolate,Winter,6.0,4,6.0,10.0,LG,A,C
Right,Red,11,AmFtBall,none,Robotics,Violin,Coffee,PeanutButter,Mushrooms,Water,Mocha,Autumn,5.5,5,6.0,9.5,XL,A,C
Right,Magenta,12,Parkour,Pool,Photography,Piano,PruneJuice,PeanutButter,PlainCheese,Papaya,Chocolate,Autumn,7.0,5,5.8,9.0,LG,A,C
Right,Yellow,11,Tennis,none,Math,Trumpet,OJ,PeanutButter,Pineapples,Milk,Pecan,Spring,5.5,4,6.0,8.5,MD,A,C
Right,Blue,11,Cricket,Golf,Computer,Cello,Tea,RiceKrispy,Pepperoni,Cola,Mocha,Fall,6.0,4,6.0,9.5,LG,A,C
Right,Blue,12,Rugby,Golf,Computer,Cello,Tea,Crumpets,Mushrooms,Cola,Pecan,Summer,5.5,4,5.2,7.0,SM,A,C
Right,Magenta,12,VolleyBall,Wrestling,ModelUN,None,Water,RiceKrispy,Sausage,Tea,Mocha,Summer,6.5,4,5.8,9.0,MD,B,C
Right,Cyan,11,Equestrian,Track,Debate,Euphonium,Smoothie,Oatmeal,Olives,MilkShake,Chocolate,Summer,5.0,5,6.0,9.5,XL,A,C
